#     r        M_x     dM_x/dr     M_th   dM_th/dr    M_tot       A        dA/dr     rhob      pbar
     0.2000E+00     0.3075E+00    -0.3365E-02     0.1021E+00     0.5148E+00     0.3240E+00     0.9757E+00     0.1018E-01     0.8843E+00     0.8419E+00
     0.2533E+00     0.3073E+00    -0.4179E-02     0.1295E+00     0.5127E+00     0.3335E+00     0.9763E+00     0.1293E-01     0.8871E+00     0.8456E+00
     0.3067E+00     0.3070E+00    -0.4993E-02     0.1568E+00     0.5106E+00     0.3448E+00     0.9771E+00     0.1567E-01     0.8906E+00     0.8502E+00
     0.3600E+00     0.3068E+00    -0.5807E-02     0.1840E+00     0.5085E+00     0.3577E+00     0.9780E+00     0.1839E-01     0.8947E+00     0.8558E+00
     0.4133E+00     0.3064E+00    -0.6620E-02     0.2111E+00     0.5064E+00     0.3721E+00     0.9791E+00     0.2110E-01     0.8996E+00     0.8623E+00
     0.4667E+00     0.3060E+00    -0.7434E-02     0.2380E+00     0.5043E+00     0.3877E+00     0.9803E+00     0.2380E-01     0.9051E+00     0.8697E+00
     0.5200E+00     0.3056E+00    -0.8246E-02     0.2649E+00     0.5022E+00     0.4044E+00     0.9816E+00     0.2648E-01     0.9113E+00     0.8780E+00
     0.5733E+00     0.3052E+00    -0.9050E-02     0.2916E+00     0.4999E+00     0.4221E+00     0.9831E+00     0.2916E-01     0.9182E+00     0.8874E+00
     0.6267E+00     0.3047E+00    -0.9843E-02     0.3182E+00     0.4975E+00     0.4405E+00     0.9847E+00     0.3182E-01     0.9258E+00     0.8977E+00
     0.6800E+00     0.3041E+00    -0.1062E-01     0.3447E+00     0.4948E+00     0.4597E+00     0.9865E+00     0.3446E-01     0.9342E+00     0.9090E+00
     0.7333E+00     0.3035E+00    -0.1139E-01     0.3710E+00     0.4919E+00     0.4793E+00     0.9884E+00     0.3709E-01     0.9432E+00     0.9214E+00
     0.7867E+00     0.3029E+00    -0.1214E-01     0.3971E+00     0.4889E+00     0.4995E+00     0.9904E+00     0.3971E-01     0.9530E+00     0.9349E+00
     0.8400E+00     0.3022E+00    -0.1288E-01     0.4231E+00     0.4857E+00     0.5200E+00     0.9926E+00     0.4231E-01     0.9636E+00     0.9494E+00
     0.8933E+00     0.3015E+00    -0.1360E-01     0.4489E+00     0.4823E+00     0.5408E+00     0.9949E+00     0.4489E-01     0.9749E+00     0.9651E+00
     0.9467E+00     0.3008E+00    -0.1431E-01     0.4746E+00     0.4787E+00     0.5619E+00     0.9974E+00     0.4745E-01     0.9871E+00     0.9819E+00
     0.1000E+01     0.3000E+00    -0.1501E-01     0.5000E+00     0.4751E+00     0.5831E+00     0.1000E+01     0.5000E-01     0.1000E+01     0.1000E+01
