      radius         M_x     M_theta  A_expected    A_actual
     0.20000     0.04493     0.36408     0.94924     0.94924
     0.20312     0.04507     0.36615     0.94963     0.94963
     0.20625     0.04521     0.36818     0.95002     0.95002
     0.20937     0.04536     0.37017     0.95041     0.95041
     0.21250     0.04550     0.37214     0.95080     0.95080
     0.21562     0.04564     0.37407     0.95118     0.95118
     0.21875     0.04578     0.37597     0.95157     0.95157
     0.22187     0.04593     0.37783     0.95195     0.95195
     0.22500     0.04607     0.37967     0.95233     0.95233
     0.22812     0.04621     0.38147     0.95271     0.95271
     0.23125     0.04636     0.38325     0.95309     0.95309
     0.23437     0.04650     0.38499     0.95347     0.95347
     0.23750     0.04665     0.38671     0.95385     0.95385
     0.24062     0.04680     0.38839     0.95422     0.95422
     0.24375     0.04694     0.39005     0.95459     0.95459
     0.24687     0.04709     0.39168     0.95497     0.95497
     0.25000     0.04724     0.39328     0.95534     0.95534
     0.25312     0.04738     0.39485     0.95571     0.95571
     0.25625     0.04753     0.39640     0.95607     0.95607
     0.25937     0.04768     0.39792     0.95644     0.95644
     0.26250     0.04783     0.39941     0.95680     0.95680
     0.26562     0.04798     0.40088     0.95716     0.95716
     0.26875     0.04813     0.40232     0.95753     0.95753
     0.27187     0.04828     0.40374     0.95789     0.95789
     0.27500     0.04843     0.40513     0.95824     0.95824
     0.27812     0.04858     0.40649     0.95860     0.95860
     0.28125     0.04874     0.40783     0.95896     0.95896
     0.28437     0.04889     0.40915     0.95931     0.95931
     0.28750     0.04904     0.41044     0.95966     0.95966
     0.29062     0.04920     0.41171     0.96001     0.96001
     0.29375     0.04935     0.41295     0.96036     0.96036
     0.29687     0.04950     0.41417     0.96071     0.96071
     0.30000     0.04966     0.41537     0.96106     0.96106
     0.30312     0.04981     0.41654     0.96140     0.96140
     0.30625     0.04997     0.41770     0.96174     0.96174
     0.30937     0.05013     0.41883     0.96209     0.96209
     0.31250     0.05028     0.41993     0.96243     0.96243
     0.31562     0.05044     0.42102     0.96276     0.96276
     0.31875     0.05060     0.42208     0.96310     0.96310
     0.32187     0.05076     0.42312     0.96344     0.96344
     0.32500     0.05092     0.42414     0.96377     0.96377
     0.32812     0.05108     0.42513     0.96410     0.96410
     0.33125     0.05123     0.42611     0.96443     0.96443
     0.33437     0.05140     0.42707     0.96476     0.96476
     0.33750     0.05156     0.42800     0.96509     0.96509
     0.34062     0.05172     0.42891     0.96542     0.96542
     0.34375     0.05188     0.42980     0.96574     0.96574
     0.34687     0.05204     0.43068     0.96607     0.96607
     0.35000     0.05220     0.43153     0.96639     0.96639
     0.35312     0.05237     0.43236     0.96671     0.96671
     0.35625     0.05253     0.43317     0.96703     0.96703
     0.35937     0.05270     0.43396     0.96735     0.96735
     0.36250     0.05286     0.43473     0.96766     0.96766
     0.36562     0.05303     0.43548     0.96798     0.96798
     0.36875     0.05319     0.43621     0.96829     0.96829
     0.37187     0.05336     0.43692     0.96860     0.96860
     0.37500     0.05353     0.43761     0.96891     0.96891
     0.37812     0.05369     0.43829     0.96922     0.96922
     0.38125     0.05386     0.43894     0.96953     0.96953
     0.38437     0.05403     0.43958     0.96983     0.96983
     0.38750     0.05420     0.44019     0.97014     0.97014
     0.39062     0.05437     0.44079     0.97044     0.97044
     0.39375     0.05454     0.44136     0.97074     0.97074
     0.39687     0.05471     0.44192     0.97104     0.97104
     0.40000     0.05488     0.44246     0.97134     0.97134
     0.40312     0.05505     0.44298     0.97163     0.97163
     0.40625     0.05523     0.44349     0.97193     0.97193
     0.40937     0.05540     0.44397     0.97222     0.97222
     0.41250     0.05557     0.44444     0.97251     0.97251
     0.41562     0.05575     0.44488     0.97280     0.97280
     0.41875     0.05592     0.44531     0.97309     0.97309
     0.42187     0.05609     0.44573     0.97338     0.97338
