      radius         M_x     M_theta  A_expected    A_actual
     0.20000     0.04493     0.36408     0.94924     0.94923
     0.25000     0.04724     0.39328     0.95534     0.95533
     0.30000     0.04966     0.41537     0.96106     0.96105
     0.35000     0.05220     0.43153     0.96639     0.96639
     0.40000     0.05488     0.44246     0.97134     0.97134
     0.45000     0.05769     0.44862     0.97590     0.97590
     0.50000     0.06065     0.45023     0.98007     0.98007
     0.55000     0.06376     0.44740     0.98384     0.98384
     0.60000     0.06703     0.44006     0.98723     0.98723
     0.65000     0.07047     0.42802     0.99022     0.99022
     0.70000     0.07408     0.41087     0.99281     0.99281
     0.75000     0.07788     0.38795     0.99500     0.99500
     0.80000     0.08187     0.35815     0.99680     0.99680
     0.85000     0.08607     0.31957     0.99820     0.99820
     0.90000     0.09048     0.26840     0.99920     0.99920
     0.95000     0.09512     0.19495     0.99980     0.99980
     1.00000     0.10000    -0.00000     1.00000     1.00000
