#     r        M_x     dM_x/dr     M_th   dM_th/dr    M_tot       A        dA/dr     rhob      pbar
     0.0000E+00     0.3000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3000E+00     0.1000E+01     0.0000E+00     0.1000E+01     0.1000E+01
     0.1103E-01     0.2995E+00    -0.4327E-01     0.0000E+00     0.0000E+00     0.2995E+00     0.1000E+01     0.0000E+00     0.1000E+01     0.1000E+01
     0.4360E-01     0.2981E+00    -0.4453E-01     0.0000E+00     0.0000E+00     0.2981E+00     0.1000E+01     0.0000E+00     0.1000E+01     0.1000E+01
     0.9619E-01     0.2957E+00    -0.4674E-01     0.0000E+00     0.0000E+00     0.2957E+00     0.1000E+01     0.0000E+00     0.1000E+01     0.1000E+01
     0.1664E+00     0.2923E+00    -0.5009E-01     0.0000E+00     0.0000E+00     0.2923E+00     0.1000E+01     0.0000E+00     0.1000E+01     0.1000E+01
     0.2509E+00     0.2879E+00    -0.5490E-01     0.0000E+00     0.0000E+00     0.2879E+00     0.1000E+01     0.0000E+00     0.1000E+01     0.1000E+01
     0.3462E+00     0.2823E+00    -0.6169E-01     0.0000E+00     0.0000E+00     0.2823E+00     0.1000E+01     0.0000E+00     0.1000E+01     0.1000E+01
     0.4480E+00     0.2756E+00    -0.7132E-01     0.0000E+00     0.0000E+00     0.2756E+00     0.1000E+01     0.0000E+00     0.1000E+01     0.1000E+01
     0.5520E+00     0.2675E+00    -0.8530E-01     0.0000E+00     0.0000E+00     0.2675E+00     0.1000E+01     0.0000E+00     0.1000E+01     0.1000E+01
     0.6538E+00     0.2578E+00    -0.1064E+00     0.0000E+00     0.0000E+00     0.2578E+00     0.1000E+01     0.0000E+00     0.1000E+01     0.1000E+01
     0.7491E+00     0.2462E+00    -0.1402E+00     0.0000E+00     0.0000E+00     0.2462E+00     0.1000E+01     0.0000E+00     0.1000E+01     0.1000E+01
     0.8336E+00     0.2322E+00    -0.1994E+00     0.0000E+00     0.0000E+00     0.2322E+00     0.1000E+01     0.0000E+00     0.1000E+01     0.1000E+01
     0.9038E+00     0.2147E+00    -0.3189E+00     0.0000E+00     0.0000E+00     0.2147E+00     0.1000E+01     0.0000E+00     0.1000E+01     0.1000E+01
     0.9564E+00     0.1918E+00    -0.6283E+00     0.0000E+00     0.0000E+00     0.1918E+00     0.1000E+01     0.0000E+00     0.1000E+01     0.1000E+01
     0.9890E+00     0.1576E+00    -0.2041E+01     0.0000E+00     0.0000E+00     0.1576E+00     0.1000E+01     0.0000E+00     0.1000E+01     0.1000E+01
     0.1000E+01     0.0000E+00    -0.2245E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.1000E+01     0.0000E+00     0.1000E+01     0.1000E+01
