#     r        M_x     dM_x/dr     M_th   dM_th/dr    M_tot       A        dA/dr     rhob      pbar
     0.2000E+00     0.3075E+00    -0.3366E-02     0.9983E-01     0.1552E+02     0.3233E+00     0.7143E+00     0.2330E+00     0.1859E+00     0.9485E-01
     0.2088E+00     0.3075E+00    -0.3500E-02     0.1987E+00     0.7752E+01     0.3661E+00     0.7144E+00    -0.8891E-01     0.1861E+00     0.9499E-01
     0.2349E+00     0.3074E+00    -0.3898E-02     0.2955E+00     0.2133E+01     0.4264E+00     0.7155E+00     0.1699E+00     0.1875E+00     0.9597E-01
     0.2770E+00     0.3072E+00    -0.4539E-02     0.3894E+00     0.2171E+01     0.4960E+00     0.7182E+00    -0.4716E-01     0.1911E+00     0.9860E-01
     0.3331E+00     0.3069E+00    -0.5396E-02     0.4794E+00     0.1224E+01     0.5692E+00     0.7232E+00     0.2347E+00     0.1979E+00     0.1035E+00
     0.4007E+00     0.3065E+00    -0.6428E-02     0.5646E+00     0.1262E+01     0.6425E+00     0.7306E+00    -0.3559E-01     0.2081E+00     0.1111E+00
     0.4769E+00     0.3060E+00    -0.7591E-02     0.6442E+00     0.8729E+00     0.7132E+00     0.7399E+00     0.3022E+00     0.2217E+00     0.1214E+00
     0.5584E+00     0.3053E+00    -0.8827E-02     0.7174E+00     0.9109E+00     0.7796E+00     0.7508E+00    -0.6801E-01     0.2385E+00     0.1344E+00
     0.6416E+00     0.3045E+00    -0.1006E-01     0.7833E+00     0.6916E+00     0.8404E+00     0.7626E+00     0.4000E+00     0.2579E+00     0.1500E+00
     0.7231E+00     0.3036E+00    -0.1125E-01     0.8415E+00     0.7305E+00     0.8946E+00     0.7747E+00    -0.1775E+00     0.2790E+00     0.1675E+00
     0.7993E+00     0.3027E+00    -0.1232E-01     0.8912E+00     0.5812E+00     0.9412E+00     0.7864E+00     0.6100E+00     0.3008E+00     0.1861E+00
     0.8669E+00     0.3019E+00    -0.1325E-01     0.9320E+00     0.6234E+00     0.9797E+00     0.7971E+00    -0.5240E+00     0.3218E+00     0.2045E+00
     0.9230E+00     0.3011E+00    -0.1400E-01     0.9636E+00     0.4976E+00     0.1010E+01     0.8062E+00     0.1343E+01     0.3405E+00     0.2213E+00
     0.9651E+00     0.3005E+00    -0.1455E-01     0.9854E+00     0.5462E+00     0.1030E+01     0.8130E+00    -0.2438E+01     0.3552E+00     0.2348E+00
     0.9912E+00     0.3001E+00    -0.1489E-01     0.9975E+00     0.3075E+00     0.1042E+01     0.8173E+00     0.1044E+02     0.3646E+00     0.2436E+00
     0.1000E+01     0.3000E+00    -0.1500E-01     0.9996E+00     0.1682E+00     0.1044E+01     0.1000E+01     0.3389E+02     0.1000E+01     0.1000E+01
