#     r        M_x     dM_x/dr     M_th   dM_th/dr    M_tot       A        dA/dr     rhob      pbar
     0.2000E+00     0.3075E+00    -0.3365E-02     0.0000E+00     0.0000E+00     0.3075E+00     0.1000E+01     0.3553E-14     0.1000E+01     0.1000E+01
     0.2533E+00     0.3073E+00    -0.4179E-02     0.0000E+00     0.0000E+00     0.3073E+00     0.1000E+01     0.1966-307     0.1000E+01     0.1000E+01
     0.3067E+00     0.3070E+00    -0.4993E-02     0.0000E+00     0.0000E+00     0.3070E+00     0.1000E+01     0.1318-307     0.1000E+01     0.1000E+01
     0.3600E+00     0.3068E+00    -0.5807E-02     0.0000E+00     0.0000E+00     0.3068E+00     0.1000E+01     0.1966-307     0.1000E+01     0.1000E+01
     0.4133E+00     0.3064E+00    -0.6620E-02     0.0000E+00     0.0000E+00     0.3064E+00     0.1000E+01     0.1318-307     0.1000E+01     0.1000E+01
     0.4667E+00     0.3060E+00    -0.7434E-02     0.0000E+00     0.0000E+00     0.3060E+00     0.1000E+01     0.1526-307     0.1000E+01     0.1000E+01
     0.5200E+00     0.3056E+00    -0.8246E-02     0.0000E+00     0.0000E+00     0.3056E+00     0.1000E+01     0.1318-307     0.1000E+01     0.1000E+01
     0.5733E+00     0.3052E+00    -0.9050E-02     0.0000E+00     0.0000E+00     0.3052E+00     0.1000E+01     0.1087-307     0.1000E+01     0.1000E+01
     0.6267E+00     0.3047E+00    -0.9843E-02     0.0000E+00     0.0000E+00     0.3047E+00     0.1000E+01     0.1318-307     0.1000E+01     0.1000E+01
     0.6800E+00     0.3041E+00    -0.1062E-01     0.0000E+00     0.0000E+00     0.3041E+00     0.1000E+01     0.1087-307     0.1000E+01     0.1000E+01
     0.7333E+00     0.3035E+00    -0.1139E-01     0.0000E+00     0.0000E+00     0.3035E+00     0.1000E+01     0.8784-308     0.1000E+01     0.1000E+01
     0.7867E+00     0.3029E+00    -0.1214E-01     0.0000E+00     0.0000E+00     0.3029E+00     0.1000E+01     0.4392-308     0.1000E+01     0.1000E+01
     0.8400E+00     0.3022E+00    -0.1288E-01     0.0000E+00     0.0000E+00     0.3022E+00     0.1000E+01     0.8784-308     0.1000E+01     0.1000E+01
     0.8933E+00     0.3015E+00    -0.1360E-01     0.0000E+00     0.0000E+00     0.3015E+00     0.1000E+01     0.4392-308     0.1000E+01     0.1000E+01
     0.9467E+00     0.3008E+00    -0.1431E-01     0.0000E+00     0.0000E+00     0.3008E+00     0.1000E+01     0.0000E+00     0.1000E+01     0.1000E+01
     0.1000E+01     0.3000E+00    -0.1501E-01     0.0000E+00     0.0000E+00     0.3000E+00     0.1000E+01    -0.3553E-14     0.1000E+01     0.1000E+01
