 radius M_x M_theta A_expected A_actual vR vTh vX Pr S_1_e S_2_e S_3_e S_4_e S_1_a S_2_a S_3_a S_4_a 
  0.19999999999999993       0.37969417229087221       0.24699320614393652       0.98400098884451748       0.98400102842367287      -0.30329329065283461       -7.9914695157452920E-002  -0.0000000000000000      -0.30329329065283461             (-5.71906265915094469E-002,12.248281747166828)             (-0.56467451639880961,1.7108311236803755)            (-0.10933839484711423,-30.329329065283460)              (-1.8450513575297993,11.848708271379563)               (0.0000000000000000,2.7076887560501190)            (-0.52227802239713839,-3.8373324281631263)       (-2.22907766748232199E-002,-30.329329065283460)            (-0.90997928198286138,-9.2077542153174434)
  0.22499999999999992       0.38093343306696548       0.24448458545602722       0.98543552087233954       0.98540591624766893      -0.28557896594406862       -7.7422443717338127E-002  -0.0000000000000000      -0.28557896594406862             (-6.19163872938884585E-002,11.299521025472803)        (-9.37154509786232576E-002,1.7941388835275462)            (-0.10415786571609886,-28.557896594406863)              (-1.5601031322108139,10.955421275617969)             (0.83755099649114717,-8.2908826210615469)            (-0.12191631536630856,-3.5169557858914833)       (-1.97186732967308126E-002,-28.557896594406863)            (-0.66063574842577877,-8.6349823709163829)
  0.24999999999999992       0.38213460081606027       0.21335927388275999       0.98654501984844056       0.98650956079162611      -0.26831113112617910       -7.4929708387187696E-002  -0.0000000000000000      -0.26831113112617910             (-7.45382533962547222E-002,10.419854420663057)              (0.19570158903913601,1.8366483670058629)       (-9.96433544780292030E-002,-26.831113112617910)              (-1.3147635074205624,10.120135587114307)             (0.78992077152972762,-7.7622807277053152)             (0.16354082277600659,-3.2409720761168952)       (-1.64203533534935942E-002,-26.831113112617910)            (-0.45030448249458033,-8.0619995612540656)
  0.27499999999999991       0.38329755542237909       0.17094826065663143       0.98724656220755702       0.98722098032118599      -0.25150057803383485       -7.2436504746589789E-002  -0.0000000000000000      -0.25150057803383485             (-8.74119745435344847E-002,9.5828698810981017)              (0.27138361442405540,1.8454842695027289)       (-9.48710789006124433E-002,-25.150057803383486)              (-1.1133978293439906,9.3194644092923209)             (0.74243334081437373,-7.2487348748911371)             (0.25308655518000450,-3.0023082379002308)       (-1.35553628402073634E-002,-25.150057803383486)            (-0.28355251398608372,-7.5121403466969188)
  0.29999999999999993       0.38442218059142691       0.13178080820254173       0.98764037586636777       0.98762620376434651      -0.23515781271551150       -6.9942848378059544E-002  -0.0000000000000000      -0.23515781271551150             (-9.54903793094274700E-002,8.7764279292478644)              (0.21989435578017594,1.8265083635791957)       (-8.96474929174514434E-002,-23.515781271551152)             (-0.95168737090470246,8.5432851013210005)             (0.70015302625966713,-6.7622448979209953)             (0.20902334946675327,-2.7951498539249533)       (-1.14443780052736459E-002,-23.515781271551152)            (-0.15604396533560871,-6.9953877258478601)
  0.32499999999999996       0.38550836386162068       0.10446530077660196       0.98785794392991333       0.98785206446582496      -0.21929304886755319       -6.7448754866941574E-002  -0.0000000000000000      -0.21929304886755319             (-9.66207116809992966E-002,7.9986317968690841)         (9.65606398331909505E-002,1.7854202206776053)       (-8.41464878782318682E-002,-21.929304886755318)             (-0.82061970757624880,7.7910971665092639)             (0.66524715142471802,-6.3045205214780324)        (8.57744864833362985E-002,-2.6138519839210521)       (-9.92636034117231822E-003,-21.929304886755318)       (-5.87518444705317222E-002,-6.5120551518378527)
  0.34999999999999992       0.38655599661553530        9.6117099265103742E-002  0.98800000190473669       0.98800018957377533      -0.20391620145094413       -6.4954239801312680E-002  -0.0000000000000000      -0.20391620145094413             (-8.98848142792448845E-002,7.2502186726522346)        (-8.40510687291424752E-002,1.7268233113865592)       (-7.85482826473881679E-002,-20.391620145094414)             (-0.71248404575135382,7.0646351303627695)             (0.63864586620362074,-5.8745738044042213)       (-8.76378643633001359E-002,-2.4538691094767096)       (-8.80365136702120771E-003,-20.391620145094414)        (1.60466347315111335E-002,-6.0601573466936856)
  0.37499999999999994       0.38756497409076535       0.11219761159264563       0.98814205989558279       0.98814831305876460      -0.18903688049478207       -6.2459318771884376E-002  -0.0000000000000000      -0.18903688049478207             (-7.57683998367884304E-002,6.5333423864465834)             (-0.27226950768819019,1.6545709745972117)       (-7.29500812844939839E-002,-18.903688049478205)             (-0.62231820317765862,6.3667842030548920)             (0.61987289063832973,-5.4699244249698760)            (-0.26840311129865457,-2.3114057497115397)       (-7.97470881111565083E-003,-18.903688049478205)        (7.33230872974597325E-002,-5.6364826083615682)
  0.39999999999999991       0.38853519539040099       0.15211201534837948       0.98835962801663912       0.98837416527540678      -0.17466438509032167       -5.9964007371905430E-002  -0.0000000000000000      -0.17466438509032167             (-5.70580962955628199E-002,5.8526118791278963)             (-0.42130796941835541,1.5725984617610298)       (-6.73829357679792684E-002,-17.466438509032166)             (-0.54740808093523274,5.7027018606981326)             (0.60614849242458302,-5.0855585809991730)            (-0.41660596409487799,-2.1825834190044362)       (-7.42791115229861441E-003,-17.466438509032166)             (0.11579850778491307,-5.2354685994289367)
  0.42499999999999993       0.38946656349311798       0.21235461051652355       0.98875344180834424       0.98877935773311887      -0.16080769757934588       -5.7468321197064430E-002  -0.0000000000000000      -0.16080769757934588             (-3.68487968129991225E-002,5.2120733003504602)             (-0.52306194911854098,1.4842829555795778)       (-6.18512505058049361E-002,-16.080769757934586)             (-0.48629880902256817,5.0768537210632498)             (0.59438216673693001,-4.7169455823466793)            (-0.51113217988627913,-2.0640798088397627)       (-7.19463945608936860E-003,-16.080769757934586)             (0.14493215452736097,-4.8521651616338897)
  0.44999999999999996       0.39035898526287927       0.28583032949699905       0.98945498445406221       0.98949068906804760      -0.14747547794049432       -5.4972275845392327E-002  -0.0000000000000000      -0.14747547794049432             (-1.79589952361900451E-002,4.6151504173066842)             (-0.53906338205397575,1.3925988014417996)       (-5.63997732351664977E-002,-14.747547794049432)             (-0.43693642179540876,4.4929898043169239)             (0.58175733770949600,-4.3600930002700640)            (-0.51389419315355733,-1.9529713490726555)       (-7.23962288037974418E-003,-14.747547794049432)             (0.16277991115027746,-4.4822536132598252)
  0.47499999999999992       0.39121237145824911       0.35430713809825259       0.99056448403938513       0.99059417647964831      -0.13467605837705865       -5.2475886917164878E-002  -0.0000000000000000      -0.13467605837705865             (-3.45377662562885990E-003,4.0665886258870003)             (-0.40727679306830777,1.3009984123779486)       (-5.12030248567786200E-002,-13.467605837705865)             (-0.39374074876286158,3.9561130744824426)             (0.56520841186850213,-4.0096019498886610)            (-0.38074212694170517,-1.8458509124614340)       (-7.27668762641241629E-003,-13.467605837705865)             (0.17492143973126906,-4.1200775012932187)
