 Grid PointsS_ActualS_actualSource Term Error
         129   1.2000015433898736E-002   0.0000000000000000       0.21034258692705810     
         130   1.2971355987651476        1.2979097015708470        7.7410280569933931E-004
         131   1.0348197231400904        1.0348995975121764        7.9874372086008449E-005
         132  0.76269742254932382       0.76459182731363595        1.8944047643121298E-003
         133  0.49235886748587604       0.49584588389334688        3.4870164074708443E-003
         134  0.23444405008553310       0.23916803706226331        4.7239869767302101E-003
         135  -2.2624360166735788E-003   3.2733111847164471E-003   5.5357472013900259E-003
         136 -0.21136840898014361      -0.20545005938810088        5.9183495920427376E-003
         137 -0.38901529429669368      -0.38309402001871179        5.9212742779818917E-003
         138 -0.53368145301998415      -0.52805355184967173        5.6279011703124215E-003
         139 -0.64575570996020071      -0.64062044133322849        5.1352686269722225E-003
         140 -0.72699983736289153      -0.72246203634685158        4.5378010160399551E-003
         141 -0.77999996585787146      -0.77608295693683305        3.9170089210384118E-003
         142 -0.80767400264251710      -0.80433707534949783        3.3369272930192651E-003
         143 -0.81286869662622285      -0.81002494413084636        2.8437524953764948E-003
         144 -0.79805441893575091      -0.79558672874098957        2.4676901947613405E-003
         145 -0.76511141173596919      -0.76288631520533412        2.2250965306350734E-003
         146 -0.71519835171238377      -0.71307907275179239        2.1192789605913864E-003
         147 -0.64870124861554346      -0.64656250790176173        2.1387407137817283E-003
         148 -0.56527560631052187      -0.56302312060797033        2.2524857025515432E-003
         149 -0.46401233570836053      -0.46160842170949773        2.4039139988628055E-003
         150 -0.34376631230613952      -0.34125790492187624        2.5084073842632781E-003
         151 -0.20366384803300361      -0.20120008646495127        2.4637615680523361E-003
         152  -4.3727228336254087E-002  -4.1545387587537182E-002   2.1818407487169053E-003
         153  0.13457398437936721       0.13621035299273443        1.6363686133672173E-003
         154  0.32813328999805036       0.32903127779282493        8.9798779477456847E-004
         155  0.53259509218152701       0.53271442877915121        1.1933659762419779E-004
         156  0.74324337357665526       0.74270943695351488        5.3393662314038526E-004
         157  0.95599326725744294       0.95503311300817739        9.6015424926554349E-004
         158   1.1680288456043335        1.1668751271338671        1.1537184704664138E-003
         159   1.3778816698169334        1.3766978205583864        1.1838492585469762E-003
         160   1.5850570000045434        1.5839059481308730        1.1510518736703723E-003
         161   1.7894550004374736        1.7883025004883115        1.1524999491621113E-003
         162   1.9907920657461715        1.9895256754414494        1.2663903047220870E-003
         163   2.1881203760782579        2.1865704212256070        1.5499548526509699E-003
         164   2.3794632488511063        2.3774207060526416        2.0425427984647193E-003
         165   2.5615522526871617        2.5587843087653321        2.7679439218295521E-003
         166   2.7296551595288934        2.7259217276582901        3.7334318706032654E-003
