 Grid PointsS_ActualS_actualSource Term Error
        1025   1.2000014951938691E-006   0.0000000000000000       0.12000000477437160     
        1026   1.2971355987651476        1.2971859347320782        5.0335966930603604E-005
        1027   1.2652804440302068        1.2652561576720640        2.4286358142777686E-005
        1028   1.2331138626775817        1.2330931845140491        2.0678163532572569E-005
        1029   1.2006577885883298        1.2006407444631928        1.7044125137033461E-005
        1030   1.1679344284768842        1.1679210381531373        1.3390323746920174E-005
        1031   1.1349662247954972        1.1349565019193752        9.7228761219980697E-006
        1032   1.1017758182202209        1.1017697703045060        6.0479157149018192E-006
        1033   1.0683860098361384        1.0683836382625298        2.3715736086060701E-006
        1034   1.0348197231400904        1.0348210231809707        1.3000408802810171E-006
        1035   1.0010999659793327        1.0011049268380952        4.9608587624483391E-006
        1036  0.96724979254400745       0.96725839741421293        8.6048702054863924E-006
        1037  0.93329226553022704       0.93330449167305740        1.2226142830362718E-005
        1038  0.89925041858891674       0.89926623742834777        1.5818839431025467E-005
        1039  0.86514721917335080       0.86516659640850668        1.9377235155881856E-005
        1040  0.83100553189562554       0.83102842762995022        2.2895734324679395E-005
        1041  0.79684808249899342       0.79687445138550050        2.6368886507088796E-005
        1042  0.76269742254932382       0.76272721395046383        2.9791401140011331E-005
        1043  0.72857589494473052       0.72860905310729296        3.3158162562441085E-005
        1044  0.69450560033786146       0.69454206458098633        3.6464243124867401E-005
        1045  0.66050836456028761       0.66054806947590428        3.9704915616667336E-005
        1046  0.62660570713319730       0.62664858279844604        4.2875665248742756E-005
        1047  0.59281881094280786       0.59286478314257973        4.5972199771870947E-005
        1048  0.55916849315320671       0.55921748361234835        4.8990459141640130E-005
        1049  0.52567517742298830       0.52572710404701950        5.1926624031195523E-005
        1050  0.49235886748587604       0.49241364460869824        5.4777122822202706E-005
        1051  0.45923912214892504       0.45929666078716264        5.7538638237597528E-005
        1052  0.42633503175545795       0.42639523986766226        6.0208112204307440E-005
        1053  0.39366519615309353       0.39372797890290534        6.2782749811807204E-005
        1054  0.36124770420074631       0.36131296422320835        6.5260022462043654E-005
        1055  0.32910011484164176       0.32916775251119812        6.7637669556364077E-005
        1056  0.29723943976294886       0.29730935346219672        6.9913699247858840E-005
        1057  0.26568212765612514       0.26575421404434674        7.2086388221592745E-005
        1058  0.23444405008553310       0.23451820436612295        7.4154280589849852E-005
        1059  0.20354048896694016       0.20361660515250743        7.6116185567270955E-005
        1060  0.17298612565132665       0.17306409682557269        7.7971174246044272E-005
        1061  0.14279503160359480       0.14287475017931078        7.9718575715981288E-005
        1062  0.11298066066035682       0.11306201863262180        8.1357972264980982E-005
        1063   8.3555842845549094E-002   8.3638732039245434E-002   8.2889193696339403E-005
        1064   5.4532779717708597E-002   5.4617092028718742E-002   8.4312311010144303E-005
        1065   2.5923041217939161E-002   2.6008668847347274E-002   8.5627629408113748E-005
        1066  -2.2624360166735788E-003  -2.1756003360181284E-003   8.6835680655450356E-005
        1067  -3.0013348913627315E-002  -2.9925411698757304E-002   8.7937214870010411E-005
